name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
Charcocaps,مسمومیت های دستگاه گوارش نفخ پوشش زخم بد بو درمان خارش نارسایی کلیه,استفراغ اسهال یبوست, توان دارو آب میوه مصرف موارد اورژانس محلول آب معمولی مصرف , دارو درمان مسمومیت نفت تاثیری دارو 30 دقیقه مسمومیت مصرف 
Aspriin,آرتریت التهاب مفاصل درد خفیف تب حمله مغز حمله قلب,راش وزوز گوش کاهش شنوایی خونریزی گوارش کلیوی مشکل انعقاد علائم کبد,دارو دسترس کودک قرار صورت خونریزی لثه دستگاه گوارش پزشک مراجعه دارو معده خال مصرف شد#شو ,حتما همراه دارو شربت معده آب میوه لیوان آب تجویز قرص های پوشش جویده 
Calmycin,تسکین درد های موضع عضلات اسکلت,ضایعاات التهاب واکنش موضع پوست محل استفاده, احساس گرما احساس درد ایجاد نقاط زخم ملتهب خراشیده مالید#مال , کودک 6 سال استفاده شد#شو 
Aspirin,درد آرتریت درد مفصل ضایعات آمبولی لخته های خون عروق حملات نارسایی عروق مغز بیمار قلب پیشگیر لخته های پلاکت,مشکلات گوارش تهوع خونریزی معده نارسایی کلیوی وزوزگوش,خونریزی رنگ مدفوع قیر مدفوع اطلاع داد#ده دارو شیر میل آسپیرین 30 دقیقه غذا 2 ساعت غذا مصرف ,آزمایش اولیه کبد کلیه انجام وضع خون بیمار کنترل صورت علائم خارش زرد کهیر دارو قطع 
Niclicide, درمان کرم های وارید#وار تینیا ساژیناتایاسولیوم ,"تهوع استفراغ, سرگیجه اسهال ریزش مو, تورم بازو کمر کهیر احساس سردرد شدید", قرص جویده سرگیجه شدید پزشک اطلاع داد#ده , دارو فاصله ماه ماه آزمایش مدفوع انجام آزمایش کبد انجام 
Diprivan, القا بیهوشی عموم سریع الثر کوتاه الثر استفراغ,"ایست قلبی, ریوی, کاهش فشار خون, درد سوزش محل تزریق کهیر خشکی دهان احتباس ادرار رنگ پوست سرفه سوزش گلو اختلال شنوایی بینایی احساس سرما لرز تشنج خواب آلودگی", گاز های بیهوشی توجهات , سالمند احتیاط تجویز مصرف دراز چربی خون پروپوفول همزمان خون پلاسما ورید تجویز کرد#کن 
Keflex,عفونت های تنفس عفونت های گوش میان عفونت های پوست استخوان مفاصل عفونت ادرار تناسلی,آلرژی کهیر اسهال خارش, علائم نشان دهنده حساسیت پزشک اطلاع داد#ده دارو ساعات معین مصرف , صورت مصرف طولانی عملکرد کلیه کبد کنترل بیمار واکنش آلرژیک خارش کهیر بررسی 
Keflin,مسمومیت عفونت های ادرار عفونت ریوی پنومونی عفونت استخوان استئومیلیت ,واکنش حساسیت کهیر راش تهوع اسهال تحریک معده درد محل تزریق مشکلات خون نارسایی کلیه,اسهال تب درمان پزشک اطلاع داد#ده استفاده دوغ ماست زمینه عفونت ثانویه میکروب های عادی روده برد کبود پوست اطلاع داد#ده , کاهش ادرار توجه قرار گرفت#گیر تب همراه اسهال دارو آماده تزریق 4 روز یخچال نگهداری 
Kefzol,عفونت های تنفس دستگاه ادرار پوست مجاری صفراوی عفونت خون سپتی سمید#سم عفونت دریچه قلب پیشگیر عمل,واکنش حساسیت عوارض کلیوی عوارض خون توهم تشنج, خون دماغ پزشک اطلاع داد#ده اسهال علائم عفونت ثانویه اطلاع داد#ده ,بیمار مصرف سفالوسپورین مستعد خونریزی 
Velosef,عفونت ریه گلودرد چرک عفونت گوش میان عفونت پوست پیشگیر عفونت جراح,آلرژی کهیر اسهال خارش,دوره درمان اسهال تب پزشک معالج اطلاع داد#ده ,دریافت شرح سابقه بیمار حساسیت پنی سیلین ها 
Cafizox,عفونت های ریوی ادرار سوزاک عفونت داخل شکم عفونت پوست استخوان مفاصل,"مسمومیت سوزش درد محل تزریق پارسنتزی راش پوست تهوع استفراغ اسهال سردرد, عواض کلیوی",سابقه آلرژی پنی سیلین سفالوسپورین پزشک اطلاع داد#ده اسهال گزارش ادامه تب ترشحات چرک محل اطلاع پزشک رساند#رسان ,تست های کبد حین درمان انجام 
Claforan,"عفونت ریه عفونت ادرار عفونت پوست پریتونیت ,عفونت مغز سزارین",آلرژی واکنش محل تزریق اسهال اختلالات خون, اسهال گزارش , محل تزریق ترومبوفلبیت لخته انسداد ورید همراه التهاب ایجاد نارسایی کلیه تست های کبد انجام تزریق عضلانی عمیق 
Fortum,عفونت ریوی عفونت ادرار پوست عفونت استخوان آبسه های داخل شکم عفونت پرده مغز مننژیت ,"خارش کهیر ادم عارضه کلیوی, درد محل تزریق", عفونت محل پزشک اطلاع داد#ده , صورت اسهال شدید دارو قطع 
Recephin,عفونت های تنفس عفونت پوست استخوان کلیه,آلرژی عوارض خون اسهال ضایعات کیسه صفرا اکیموز درد محل تزریق, اسهال شل مدفوع پزشک اطلاع داد#ده , دارو تمایل خونریزی افزایش 
Suprax,"درمان عفونت ادرار التهاب عفونت گوش میان ,عفونت حلق برونشیت حاد سوزناک",عوارض کبد کلیوی تهوع استفراغ نفخ خواب آلودگی اسهال, اسهال گزارش , درمان کشت آنتی بیوگرام انجام صورت تشنج دارو قطع عوارض کلیوی بالا 50 سال رخ 
Propine,آب سیاه چشم گلوکوم زاویه ,سوزش چشم تار دید سرگیجه پرخون چشم, چکاندن قطره دست آب صابون بشوئید خشک ابتدا ورود دارو چشم سوزش ایجاد ," صورت مصرف اپی نفرین چشمی, قطع "
Adernalin,ایست قلب دراحیای قلب ریه دارو حیاتی شوک حساسیت دارویی آنافیلاکسی آسم حملات ریوی کودک جوان مفید ,سر درد تپش قلب تهوع افزایش فشار خون سنکوپ,افزایش ضرب قلب جزء عوارض دارویی مصرف خودسرانه دبه سالمند پرهیز صورت احتمال حساسیت دارویی آنتی بیوتیک آماده داشت#دار , غلظت دستور عمل گاه حس موضع ترکیب اپی نفرین لیدوکائین استفاده کار انتهای اندام ها دست پا انجام قلب فشار خون کنترل 
Dopastat,محرک قلب درمان کاهش افت فشار خون شوک قلب نارسایی قلب نارسایی کلیه مفید ,تهوع استفراغ درد قفسه سینه تشدید حمله آسم, محل تزریق درد ایجاد صورت عارضه پرستار اطلاع داد#ده , مخلوط دوپامین محلول سرید#سر کربنات سدیم فن توئین سدیم خوددار کنترل علائم حیاتی مونیتورینگ نوار قلب ضروری تزریق ورید های استفاده 
Efedvon, مجاری هوا درمان احتقان بینی درمان علامت آسم,تهوع استفراغ اشتهایی خوابید#خواب تپش قلب نظم قلب,مایعات نوشید#نوش مصرف خودسرانه میزان بالا دارو خوددار ,مه نشانه مسمومیت افدرین روز علائم تشنج 
Metaprel,بیمار های تنفس آسم تنگ نفس مزمن ریوی برونشیت آمفیزم برونشکتازی درمان بلوک قلب, قرار سرگیجه رفتن فشار خون تهوع استفراغ خشکی دهان, صورت بهبود علائم پزشک اطلاع داد#ده میزان مصرف دارو خطرناک ,وضعیت قلب فشار خون بیمار کنترل مسن دارو احتیاط مصرف 
Exosurf Nedvatal,درمان پیشگیر ناتوان تنفس نوزاد نارس کمبود مادرزاد سورفاکتانت داخل ریه,خونریزی عفونت ریوی تشنج ایست تنفس عفونت پرده مغز, والدین دارو عوارض احتمال قبلا صحبت , مصرف داخل نا لوله ها اندازه های مختلف دسترس دارو مصرف 8 میلی لیتر آب مقطر آماده آموزش کادر درمانی ضروری 
Zincate,درمان کمبود درمان کمک بیمار کمبود مس,تهوع اسهال تحریک معده,اعمال فعالیت جنس بینایی تولید وابستگی شدید میزان بدن , درمان کمک غذا همراه مصرف دارو ضروری 
Sulmages, مسمومیت حاملگی کلامپسی پره اکلامپسی خانم حامله دهان تغذیه نم مجبور دارو مواد ضروری ورید های محیط رساند#رسان ,سردرد گرگرفتگی کاهش فشار خون فلج تنفس تعریق تهوع خواب آلودگی احساس تشنگی, صورت تهوع استفراغ مشکلات قلب تنفس اطلاع پزشک ضروری علائم مسمومیت ,علائم حیاتی بیمار حین تزریق کنترل سطح سرمی منیزیوم بررسی حتما آمپول کلسیم گلوکونات ورید دسترس آماده داشت#دار 
Ak-Sulf,عفونت چشم کرات چشم,سر درد تورم حساسیت موضع چشم حساسیت جلد, شیرده حاملگی احتیاط تجویز , آنتی بیوتیک وسیع الطیف 
Ucine,زخم فعال روده رماتیسم مفصل سندرم بهجت اسکلرودرمی بیمار عروق عموم واسکولیت ,تهوع استفراغ حساسیت نور اختلالات خون رنگ ادرار کچلی موضع برگ پذیر, دارو غذا میل رنگ ادرار زرد رنگ , بایست بیمار اسید فولیک تجویز 
Aulosulfon,آلودگی توکسوپلاسموز جذام درماتیت ایدز آلودگی قارچ,زرد یرقان استفراغ تشنج تهوع خوابید#خواب خون, بیمار میتلا فاویسم احتیاط استفاده کمتر 6 ماه بیمار مبتلا جذام بایست بهبود بهبود رود صورت زرد تب پزشک مراجعه ,آزمایش خون کبد صورت منظم تکرار 
Silvadene,سوختگی درمان عفونت های پوست,حساسیت موضع حساسیت شدید دارویی جذب عموم, صورت عوارض موضع پزشک اطلاع داد#ده , صورت درمان طولانی آژمایشهای خون انجام داد#ده دوره مالیدن کرم زخم پاک 
Bactrim,عفونت های مجاری ادرار اسهال های عفونی عفونت گوش میان عفونت پروستات حاد مزمن عفونت شدید ریوی,استفراغ ضایعات پوست تشنج توهم سر درد زرد اسهال شدید,زخم دهان زرد ضایعات پوست خون ادرار نشانگر مسمومیت پزشک اطلاع داد#ده اشتهایی کهیر جمله علائم ,بررسی عملکرد کلیه کبد ضروری میزان دریافت مایعات ادراک کنترل اختلالات خون احتیاط تجویز 
Trusopt, کاهش فشار داخل چشم درمان گلوکوم زاویه ,التهاب موضع تهوع استفراغ اشک سردرد ضایعات جلد, صورت هرگونه علائم چشم شدید پزشک اطلاع داد#ده ,تست های کبد خون بیمار بایست کنترل 
Sulfamylon,عفونت زخم سوختگی پیشگیر درمان عفونت , جذب سیتمیک واکنش حساسیت اسیدوزمتابولیک اختلال خونریزی دهنده , بهبود نسبی سریع شستشو پانسمان بعد , استفاده قرص سطح سوختگی سرید#سر شست#شوی دبریدیمان بافت های مرده انجام حمام روزانه بهبود زخم مفید ..
Diabinese,بیمار قند تیپ 2 دیابت بزرگسالان دیابت مزه,عوارض گوارش مشکلات خون حساسیت کاهش قندخون,دارو صبح ها همراه صبحانه مصرف شکلات بیسکویت همراه داشت#دار خشکی شدید عرق کرخت اندام نشانگر کاهش قند خون خوراک اسفاده ,سطح قند خون کنترل دارو نوبت تجویز 
Rimso-50,التهاب مثانه,راش پوست کهیر واکنش حساسیت تهوع اسهال, دارو عفونت های مثانه مفید , دارو تزریق عضلانی بدن مفید دارو کاتتر سرنگ مستقیما مثانه دارو توسط ادرار دفع 
Zarontin,انواع صرع پتسمال آبسانس صرع میوکلونیک ,تهوع استفراغ درد شکم یبوست اختلالات خون آنمی خون ,درصورت قرار اختلال هوشیار تهوع استفراغ شدید پزشک مراجعه موارد نشانگر مسمومیت دارویی ,آزمایش کلیوی کبد ضروری 
Ledclair,مسمومیت فلزات سنگین سرب کادمیم کرومیک کبالت مس منیزیوم نیکل تنگستن,نارسایی کلیه نقرس اختلال خون عوارض پوست علائم درد عضلانی تهوع استفراغ,بیمار بایست پیگیر آزمایش ها کنترل مرتب , محل تزریق عضلانی درد ایجاد ارجح پرستار تزریق مقدار پروکائین کاهش درد استفاده تزریق سریع دارو خطرناک العاده کشنده 
Cuprimine," درمان مسمومیت سرب, مس جیوه",تهوع استفراغ زخم دهان حساسیت پوست خون ضایعات کلیوی اختلال عملکرد کبد ریزش مو درد عضلانی, دارو معده خال استفاده درمان رماتیسم استفاده کبود پوست جلد پزشک اطلاع داد#ده ,تست های کلیوی خون ضروری 
Androcur,درمان افزایش شدید میل جنس کاهش مسل جنس درمان سرطان پروستات پرمو آکنه,زرد عقیم افسردگی خواب آلودیگی عوارض پوست, خواب آلودگی کار دقیق رانندگی پرهیز صورت شیر پستان بزرگ پستان مردانه پزشک اطلاع داد#ده , زن حامله الامکان تجویز شد#شو تست کبد بررسی 
Cozaar,,اسهال سردرد سوء هاضمه درد عضلات سرفه,دارو ناگهانی قطع صورت حاملگی دارو قطع صورت مصرف دیورتیک دارو های ادرار آور کاهش فشار خون رخ ,تست های کبد انجام داد#ده فضار خون بیمار کنترل مه علامت مسمومیت سرگیجه کاهش فشار خون 
Amitril,افسردگی پایین خلق صورت فرع عوارض افسردگی اشتهایی استهایی درد ریشه عصبی,"آریتمی قلب نظم های ریتم قلب شوک بلوک قلب خواب آلودگی یبوست احتباس ادرار کاهش میل جنس تهوع تعریق ,تاری دید ",دارو ها همراه بلافاصله غذا مصرف احتباس ادرار خشکی دهان یبوست بیمار متذکر شد#شو رنگ ادرار آب متمایل سبز الامکان بیمار توصیه خروج منزل عینک آفتاب استفاده ,دارو ها همراه بلافاصله غذا مصرف CBC شمارش گلبول های خون عملکرد کلیه قلب بررسی 
Arentyl,"ضد افسردگی ضد ترس روان پانیک درد عصبی شب ادراری, سردرد میگرن","آریتمی قلب نظم های ریتم قلب شوک بلوک قلب خواب آلودگی یبوست احتباس ادرار کاهش میل جنس تهوع تعریق ,تاری دید ",دارو ها همراه بلافاصله غذا مصرف احتباس ادرار خشکی دهان یبوست بیمار متذکر شد#شو رنگ ادرار آب متمایل سبز الامکان بیمار توصیه خروج منزل عینک آفتاب استفاده ,دارو ها همراه بلافاصله غذا مصرف CBC شمارش گلبول های خون عملکرد کلیه قلب بررسی 
Tofranil,افسردگی شب ادرار اطفال درد های مزمن پرخور بولیمای اضطراب آسیب های روان ضربه PTSD حوادث عموم جنگ زلزله سوگ عزیز,خشکی دهان خواب آلودگی یبوست تار دید, دارو غذا مصرف رانندگی کار دقیق پرهیز ,پزشک یاد دارو دارو ضد سایکوز الکل دارو ضد فشار خون تداخل دارویی دارو ناگهانی قطع کنترل منظم فشار خون تست های کبد کلیوی ضروری 
Tolectin," درمان آرتریت حاد مزمن, استئو آرتریت رماتیسم مفصل",علائم آلرژی علائم حساسیت عموم, داروبا غذا شیر آنتی اسید میل شد#شو همراه آسپیرین مصرف شد#شو ,تست های کلیوی انجام داد#ده 
Mentopin,درد های عضلانی مفصل درد استخوان درد ریشه اعصاب محیط,حساسیت موضع,چسب 48 ساعت بدن ماند#مان , خاص 
Lovenox,پیشگیر ترومبوز لخته ورید ها آمبولی ریه درمان ترومبوز ورید عمق آنژین قلب ناپایدار,خونریزی درد قرمزی محل تزریق تهوع خونمردگی تب," صورت کبود ,خونریزی خارش تب پزشک اطلاع داد#ده درد قرمزی محل تزریق کیسه یخ بهبود مراجعات دندانپزشکان اطلاع داد#ده", آزمایش خون شمارش پلاکت انجام تزریق صورت جلد جدار شکم 
Borax, دارو ضد باکتری نرم کرم ها دارو ساختگی پوست استفاده ,حساسیت موضع پوست,موارد مرک دید#بین مصرف مکرر ممنوع اساس پزشک مصرف , دارو طریق پوست زخم مخاط دهان جذب آثار سمید#سم صورت اسهال ضایعات پوست 
Polaraminea,"درمان علامت وضعیت آلرژی, کهیر حساسیت چشمی, بیمار خارش پوست",خواب آلودگی اختلالات خون خون,دارو شیر آب مصرف ,وضعیت ادرار بیمار کنترل 
Dilomine,درد دستگاه گوارش درمان کمک اسهال روده تحریک پذیر درد شکم کولیک شیر خوار,تپش قلب خوابید#خواب سرگیجه خستگی تار دید یبوست اتساع شکم,دارو غذا میل تزریق بیمار تزریق وضعیت دراز کش خوابید#خواب ناگهانی وضعیت داد#ده ,مایعات دریافتی خروج کنترل دارو آنتی هیستامین ها تداخل عملکرد 
--,پیشگیر درمان مسمویت سم بوتولیسم سم میکروب عسل کنسرو ,"حساسیت کهیر,کاهش فشار خون", صورت واکنش حساسیت تاخیری پزشک اطلاع داد#ده , تزریق تست انجام 
Selsun,حساسیت موضع سر همراه شوره سر شایعات شبه قارچ تنیا رسیکالر,تحریک پوست خارش قرمزی چشم, شستن مو سر 2 3 دقیقه مو مالش داد#ده شامپو چشم شد#شو ,احتمال داردعوارض شدید پوست ایجاد صورت التهاب شدید استفاده شد#شو 
Cytosar,ضد سرطان های خون AML ALL CML,تهوع استفراغ خون زرد تب سردرد زخم دهان, استفراغ های مکرر ریزش مو دارو برگ صورت قیر مدفوع پزشک اطلاع داد#ده , دارو سمید#سم پزشک مستخصص تجربه تجویز نمایند تست های کلیوی کبد صورت منظم کنترل زن سنین بارور مصرف صورت مصرف باردار 
Mitramyc II, درمان کلسیم خون هیپر کلسیوری شدید دفع ادرار کلسیم سرطان بیضه,تهوع استفراغ اسهال استوماتیت اختلالات الکترولیتی اختلال کلیوی,هرگونه کبود خونریزی جلد پزشک اطلاع داد#ده -در خانه بیمار واکسن زنده دریافت تب گلودرد پزشک اطلاع داد#ده ,آزمایش کلیوی انجام سلول های خون پلاکت ها شمارش مصرف دارو همزمان مبتلا آبله مرغ زونا ممنوع 
Silomat, درمان سرفه های مقاوم نا ,خواب آلودگی سرگیجه, مصرف دارو رانندگی کار دقیق پرهیز ," دارو مغز بصل النخاع سرفه کنترل کند, پزشک سرفه بررسی درمان "
Desitin,درمان سوختگی پیشگیر درمان التهاب تحریک پوست شیرخوار زخم سطح, دارو حاوی zinc oxid روغن کبد ماه liver pil cod , تماس دارو چشم پرهیز , صورت تحریک پوست دارو قطع 
5Chlorohex,عفونت های دهان زخم های دهان لثه, احساس چشایی پوسته پوسته مخاط بزرگ غدد بزاق, غرغره دهان شویه نیم ساعت خوردن آشامیدن اجتناب , صورت حساسیت موضع پوسته میزان دارو کاهش داد#ده 
Murine,تسکین التهاب تحریکات ضایعات دهان زبان پوست, خاص , خاص , صورت غرغره دهان صورت محلول نرم واکس گوش استفاده 
Loniten,فشار خون اصل ترین ضروریات درمان دارو دارو اصل فشار خون معمولی موارد فشار خون مقاوم کارا ترکیب داور استفاده ,افزایش ضرب قلب ادم پرمو تهوع استفراغ سردرد خستگی قاعدگی زود زود,قطع ناگهانی دارو توانست#توان خطرناک ,علائم حیاتی بیمار کنترل مینوکسیدیل همراه ایندرال متیلدوپا مصرف 
Nipride,حملات حاد فشار خون نارسایی قلب سکته قلب حین جراح,"سر تعریق سرگیجه تغییرات هوشیار گرگرفتگی, تحریکات جلد",مراقب مسمومیت دارویی بود#باش , دارو نور حساس استو دارو ورق آلومینیوم پوشاند#پوشان محلول تازه رنگ قهوه ای کمرنگ 
Fungizone,عونت های قارچ سیستمیک مخاطره آمیز ارگانیسم های حساس هیستوپلاسموز آسپرژیلوس,"سردرد نوتروپاتی, کاهش فشار خون اختلالات کلیوی خون", محل تزریق درد لخته خون ,محلول 24 ساعت میتوان نگهداری بایست آزمایش های الکترولیت شمارش گلوبول خون عملکرد کبد کلیوی انجام 
Claritin,درمان علامت رینیت آلرژیک حساسیت های فصل کهیر,سردرد خوابید#خواب سرگیجه خشکی دهان ضعف, خواب آلودگی رانندگی اجتناب قرص پوشش فورا میل فرمود#فرمای ,تست های کبد کلیوی انجام داد#ده 
Bal, دارو عنوان شلاتور دفع متصل شونده فلزات سنگین کاربرد داردو مسمومیت آرسنیک سرب طلا جیوه کاربرد ," رفتن ضرب های قلب تاکیکاردی رفتن فشار خون احساس تنگ نفس ,سردرد مشکلات خون درد موضع", اختلالات خون بیمار تست های خون انجام دارو مسمومیت بیسموت تالیم موثر بیمار مبتلا فاویسم احتیاط مصرف ,تزریق عضلانی شدت دردناک احتمال آبسه استریل محل تزریق بالاست فشار خون کنترل دارو عوارض کلیوی 
Cidex, ضد عفونی وسایل دندانپزشکی تجهیزات لاستیک اتاق عمل وسایل آرتروسکوپی,آسم عوارض پوست زخم التهاب پوست غلظت های ایجاد ,بخار تحریک دستگاه تنفس , صورت آلودگی شدید پوست پوست پوست آب فراوان صابون بشوئید -وسایل استفاده سرید#سر شسته شودن 
Superfact,آمادگی تحریک تخمک لقاح خارج رحم IVF سرطان پروستات التهاب رحم اندومتریوز درد قاعدگی,سردرد رفتن فشار خون تورم اندام ها خون تکرار ادرار تنگ نفس درماتیت یبوست تهوع استفراغ شدید,مصرف مداوم منظم دارو توصیه صورت مشاهده سردرد شدید گرگرفتگی اطلاع داد#ده ,بیمار گرفت#گیر علائم حیاتی مصرف مسن کنترل گرگرفتگی کاهش میل جنس متذکر شد#شو 
Questran,افزایش کلسترول خون خارش انسداد صفراوی سندرم روده تحریک پذیر کاهش سکته قلب,"یبوست ,تهوع ضایعات جلد خونریزی معده روده افزایش میل جنس تمایل خونریزی التهاب پوست سکسکه سردرد اضطراب سنکوپ پوکید#پوک استخوان", همراه دارو ملین استفاده هرگز پودر آب مصرف کرد#کن صورت محلول آب استفاده ,سطح چربی خون اندازه دارو غذا خواب مصرف 
---------, درمان خونریزی هموفیلی A B فاکتور وابسته ویتامین K ,خونریزی تب واکنش حساسیت شدید سردرد فشار خون درد محل تزریق ضایعات پوست نارسایی کلیه, علائم دال حساسیت کهیر فشار خون پزشک اطلاع داد#ده ,تست های انعقاد ارزیاب دارو سر سوزن استریل پونکسیون صورت ورید 2 5 دقیقه آهستگی تزریق 
Alphanine,"ضد خونریزی جلوگیری خونریزی هموفیلیB بیمار کریسمس, اعمال جراح کنترل خونریزی حین عمل, پیشگیر کنترل خونریزی هموفیلی A ","سردرد گرگرفتگی, ضرب قلب کهیر تب لرز ترومبوز ورید", صورت کاهش فشار خون درد قفسه سینه پزشک اطلاع داد#ده مصرف همزمان آسپیرین خوددار آسیب مفاصل جلوگیری ,سرعت تجویز استولی 3 میلی لیتر دقیقه معمول پودر آرامی محفظه تکان داد#ده احتمال لخته خون ترومبوز عروق 
Ciloxan,عفونت میکروبی ملتحمه چشم زخم عفونی قرینیه عفونت گوش خارج میان,ضایعات پوست اطراف محل تماس ضایعات قرینیه تورم پلک ریزش اشک ترس نور پرخون چشم, صورت ایجاد ترس نور اشک ریزش شدید پزشک مراجعه تماس نوک قطره چک چشم پلک جلوگیری درمان لنز چشم تماس استفاده شد#شو ,دارو 7 روز استفاده 
Ciproxin,عفونت های ادرار عفونت ریوی پوست والتهابی مجاری ادرار استخوان,عوارض گوارش سوء هاضمه تهوع تشنج خواب آلودگی ضایعات پوست راش آسیب کلیوی کندی رفتن فشار خون خون, مصرف سیپرو آنتی اسید 4 ساعت فاصله سابقه تشنج صرع مصرف دارو پزشک مشورت , صورت اسهال بیمار آب الکترولیت اداره مصرف مایعات همراه دارو توصیه نارسایی کلیه میزان دارو کاهش 
Tarivid, دارو شبیه سیپروفلوکساسین درمان عفونت های ریوی برونشیت پنومونی عفونت ریه عفونت پوست استخوان پروستات استفاده میشود ,تهوع استفراغ سردرد خوابید#خواب اسهال حساسیت,زمینه حساسیت نور افزایش دارو معده خال استفاده سرگیجه اسهال شدید پزشک اطلاع داد#ده ,تست های کبد کلیوی انجام نارسایی کلیه میزان دارو تنظیم آنتی اسید همراه تجویز کرد#کن 
Ketalar,دارو بیهوشی شل عضلات دارو های دارو های کار رود , رفتار افزایش توان عضلات توهم افزایش فشار خون تعدا ضرب قلب تهوع استفراغ سردرد بیهوشی جمله , عوارض عمل عمل ت کوتاه رانندگی کار دقیق نیازمندتوجه خوددار , اتر هالو دارو های مهار مغز اعصاب تداخل دارویی کاهش عملکرد تنفس افزایش ترشحات حلق جمله علائم مسمومیت دارویی 
Astramorph, درد خفیف متوسط القا بیهوشی ادم حاد ریه,"استفراغ تهوع خواب آلودگی خارش مهار تنفس شوک کوما, احتباس ادرار قرار کاهش فشار خون",توقف تنفس شل شدید عضلات کاهش فشار خون علائم مسمومیت پزشک اطلاع داد#ده , سالمند میزان دارو کاهش 
Modecate,اختلالات روان اضطراب شدید,تهوع کاهش فشار خون ضعف عموم خواب آلودگی عوارض کبد, معرض نور مستقیم آفتاب قرار گرفت#گیر مایعات استفاده بهداشت دهان دندان رعایت گاه رنگ ادرار پوست بدن زرد قهوه ای , کنترل علائم فر تزریق توان استفاده احتمال تشنج صورت تب علائم عفونی پزشک اطلاع داد#ده آزمایش خون ضروری 
Stelazine," درمان اختلالات روانی, اضطراب بیمار اسکیزوفرنی",ماه فشار خون یبوست خشکی دهان خواب آلودگی," رانندگی کار دقیق خوددار استفاده الکل دارو خواب آور همزمان اجتناب خشکی دهان عوارض شایع است, مایعات مصرف بیمار انجام آزمایش های حین درمان همکار بیمار گرما سرما قرار گرفت#گیر ",پزشک بایست سابقه بیمار مبتلا آسم تشنج کهیر بررسی دارو اعصاب روان تجویز کرد#کن علائم حیاتی بیمار توسط پرستار کنترل صورت ملوگرافی رادیو گراف نخاع ماده 48 ساعت دارو قطع 
Largactile,اختلالات شدید روان سایکوز یاحملات حاد مانیا عنوان آرامبخش رفع سکسکه مقاوم اشتهایی عصبی میگرن فشار خون حاملگی درمان وابستگی مخدر ها نوزاد دیستونی گردن,خواب آلودگی کاهش فشار خون عوارض چشم کهیر آسم تورم حنجره رنگ پوست," رانندگی کار دقیق خوددار استفاده الکل دارو خواب آور همزمان اجتناب خشکی دهان عوارض شایع است, مایعات مصرف بیمار انجام آزمایش های حین درمان همکار بیمار گرما سرما قرار گرفت#گیر ",پزشک بایست سابقه بیمار مبتلا آسم تشنج کهیر بررسی دارو اعصاب روان تجویز کرد#کن علائم حیاتی بیمار توسط پرستار کنترل صورت ملوگرافی رادیو گراف نخاع ماده 48 ساعت دارو قطع 
Mellaril,اختلالات روان سایکوز اختلالات رفتار کودک قرار رفتار خشونت زا تهاجم,"علائم قلبی, تشنج کاهش فشار خون خشکی دهان یبوست"," رانندگی کار دقیق خوددار استفاده الکل دارو خواب آور همزمان اجتناب خشکی دهان عوارض شایع است, مایعات مصرف بیمار انجام آزمایش های حین درمان همکار بیمار گرما سرما قرار گرفت#گیر ",پزشک بایست سابقه بیمار مبتلا آسم تشنج کهیر بررسی دارو اعصاب روان تجویز کرد#کن علائم حیاتی بیمار توسط پرستار کنترل صورت ملوگرافی رادیو گراف نخاع ماده 48 ساعت دارو قطع 
Phenergan,حساسیت خارش پوست خوابید#خواب تهوع استفراغ,عوارض خون زرد تشنج کوما سرگیجه قرار اشتهایی یبوست خشکی دهان مشکلات تنفس استفراغ, خواب آلودگی رانندگی اجتناب تجویز پزشک مصرف شد#شو ,دارو خوراک غذا شیر آب میوه استفاده وضعیت تنفس بیمار کنترل مرگ ناگهانی نوزاد شیر خوار گزارش 
Dolantin,درد متوسط شدید عمل کمک بیهوشی,خواب آلودگی یبوست تشنج خشکی دهان .., خواب آلودگی کار دقیق رانندگی ممنوع تزریق سرپایی بیمار همراه ویلچر ,تزریق جلد درد توصیه نم علائم حیاتی بیمار کنترل تزریق ورید سرید#سر نرمال سالین سرید#سر دکستروز رقیق 
Lamictal,,سر درد راش پوست سرگیجه دوبینی تار دید تهوع استفراغ اضطراب ضایعات جلد تاکیکاردی خونریزی اختلال شخصیت فلج خودکشی ورم عموم درد عضلات,پزشک بایست میران مصرف دارو اساس پاسخ درمانی تنظیم عوارض دارو بایست بیمار اطلاع بیمار معرض نور قرار گرفت#گیر ,آزمایش کبد کلیوی انجام قطع ناگهانی دارو خطرناک 
Atromid-s,ضد افزایش چربی خون تر گلیسیرید دیابت مزه بیمار قلب گزانتوم توبرسوم,"تهوع نظم قلب استفراغ ریزش مو, کهیر اسهال کاهش میل جنس مشکل انعقادی, خون درد عضلانی, عوارض عصبی پرخور اختلالات تست کبد",دارو همراه غذا میل مصرف چربی محدود مصرف همزمان لووستاتین خوددار , تجویز همزمان دارو ضد انعقاد خوراک وارفاین خوددار دارو بایست ماه باردار قطع 
Lopid, افزایش چربی خون کلسترول خون وپیشگیری بیمار ایسکمیک قلب,درد شکم اسهال سردرد تتشنج خارش ریزش مو یرقان تورم گلو حنجره درد ضعف عضلانی, صورت اسهال شدید پزشک اطلاعه داد#ده عوارض دارو اختلال چشایی ,آزمایش کبد خون ماه انجام 
Ethrane,درهنگام بیهوشی دز اتاق عمل حس سرپایی,عوارض جانبی هالو نظم ریتم قلب تشنج,آموزش های عوارض هالو ,احتمال آسیب کبد تشنج 
