name,description,indication
Drometrizole trisiloxane,drometrizole trisiloxane photostable uva uvb light filter a33069 l2780 l2781 l2782 l2783 f81 compound lipophilic benzotriazole derivative marketed meroxyl xl l'oreal although sunscreen drometrizole trisiloxane currently approved use eu canada australia japan among country despite used elsewhere world relatively report adverse reaction fda continues cite existing scientific record sufficient establish compound generally recognized safe effective over-the-counter sunscreen use l2795 f82 ,drometrizole trisiloxane used active ingredient various sunscreen indication protecting skin absorbing damaging uv radiation sunlight a33069 l2780 l2781 l2782 l2783 f81 f82 
Asunaprevir,asunaprevir also named bms-650032 potent hepatitis c virus hcv ns3 protease inhibitor shown high efficacy dual-combination regimen daclatasvir patient chronically infected hcv genotype 1b a32528 developed bristol-myers squibb canada approved health canada april 22 2016 commercialization asunaprevir cancelled one year later october 16 2017 l1113 ,asunaprevir indicated combination agent treatment chronic hepatitis c adult patient hepatitis c virus genotype 1 4 compensated liver cirrhosis l2278 hepatitis c liver disease caused hepatitis c virus chronic state condition account 60-80 case risk cirrhosis liver within 20 year around 15-30 l2281 genotype 1 common type hepatitis c united state difficult treat l2282 
Etafedrine,etafedrine inn ethylephedrine long-acting bronchodilator ingredient combined drug brand name nethaprin a32757 dalmacol l2568 previously available free base hydrochloride salt manufactured sanofi-aventis sanofi discontinued l2563 ethylephedrine formed alkylating ephedrine ethyl iodide hydrochloride prepared passing hydrogen chloride solution ethylephedrine diethyl ether f6 belongs family medication called _decongestants_ act narrowing blood vessel nasal passage helping relieve nasal congestion f6 ,condition characterized bronchial congestion bronchospasm expectorant bronchodilator action required acute bronchitis acute episode chronic bronchitis bronchial asthma l2565 l2566 
Carbon monoxide,carbon monoxide co colorless odorless tasteless gas slightly lower density air toxic hemoglobin utilizing animal including human encountered concentration 35 ppm although also formed normal animal metabolism low quantity thought normal biological/homeostatic function l2529 carbon monoxide co ubiquitous environmental product organic combustion also formed endogenously human body byproduct heme metabolism a32758 exhaled co eco similar exhaled nitric oxide eno evaluated candidate breath biomarker pathophysiological state including smoking status inflammatory disease lung organ exhalation corbon monoxide value studied potential indicator inflammation asthma stable copd exacerbation cystic fibrosis lung cancer surgery critical care l2529 test diffusing capacity lung carbon monoxide dlco one clinically valuable test lung function testing technique first described 100 year ago applied clinical practice many year dlco measure ability lung transfer gas inhaled air red blood cell pulmonary capillary dlco test convenient simple patient undergo ten second breath-holding required dlco maneuver easier patient perform forced exhalation required respiratory test l2557 carbon monoxide presently used small amount low oxygen modified atmosphere packaging system map fresh meat stabilize maintain natural meat color use co generally recognized safe gras several packaging application fresh meat product since 2002 fda favorably reviewed three gras notification carbon monoxide use fresh meat packaging l2537 fda classifies drug permitted food additive packaging preparation food product following federal code regulation l2531 several concern voiced use carbon monoxide food product l2537 l2538 l2539 european union banned use carbon monoxide color stabilizer meat fish december 2001 report european commission 's scientific committee food concluded gas pose risk provided food maintained adequately cold storage transport prevent growth microorganism l2538 new zealand use carbon monoxide fish preparation banned may mask effect food spoilage bacterial growth l2539 ,used marker respiratory status spirometry test l2557 f4 food additive pigment fixation meat l2531 
Neon,neon chemical element chemical symbol ne atomic number 10 noble gas colorless odorless inert monatomic fifth abundant chemical element universe mass rare element earth display reddish-orange light commonly used low-voltage neon glow lamp high-voltage discharge tube sign fluorescent lighting also used vacuum tube high-voltage indicator lightning arrester wave meter tube television tube helium–neon laser neon may used clinical setting diagnostic tracer gas gas analyzer lung diffusion test clinical application neon radiotherapy various cancer a32763 studied ,indicated use diagnostic tracer gas pulmonary function test 
Thimerosal,thiomersal inn commonly known u.s. thimerosal organomercury compound compound well-established widely used antiseptic antifungal agent developed 1927 thimerosal still used preservative cosmetic topical pharmaceutical biological drug product includes vaccine significant concern regarding safety toxicity last several decade although thimerosal banned several country continues included preservative vaccine united state many vaccine developing world l1685 ,used preservative cosmetic topical pharmaceutical biological drug product includes vaccine l1671 l1672 l1673 
Bilastine,bilastine novel new-generation antihistamine highly selective h1 histamine receptor rapid onset prolonged duration action , symptomatic relief nasal non-nasal symptom seasonal rhinitis patient 12 year age older symptomatic relief chronic spontaneous urticaria patient 18 year age older fda label 
Nitrocefin,nitrocefin chromogenic cephalosporin substrate used detect presence beta-lactamase enzyme important mediator bacterial antibiotic resistance detection method exist pcr nitrocefin allows rapid detection using material inexpensive equipment ,
Domiphen,domiphen bromide quaternary ammonium compound predominantly employed topically administered antiseptic agent ,anti-infective topical used treatment acute infectious dental disease condition 
Atezolizumab,atezolizumab humanized monoclonal antibody used prevent interaction pd-l1 pd-1 removing inhibition immune response seen cancer a18493 l7489 medication reserved patient whose tumor express pd-l1 receive platinum-based chemotherapy whose tumor respond platinum-based chemotherapy l7489 atezolizumab granted fda approval 18 october 2016 l7489 november 2022 manufacturer genentech voluntarily withdrew use atezolizumab treatment urothelial carcinoma previously approved fda 's accelerated approval program rest atezolizumab indication remain unaffected l44246 ,atezolizumab approved indication following condition l44336 non-small cell lung cancer nsclc adjuvant treatment following resection platinum-based chemotherapy adult patient stage ii iiia nsclc whose tumour pd-l1 expression ≥ 1 tumour cell determined fda-approved test first-line treatment adult patient metastatic nsclc whose tumour high pd-l1 expression pd-l1 stained ≥ 50 tumour cell tc ≥ 50 pd-l1 stained tumour-infiltrating immune cell ic covering ≥ 10 tumour area ic ≥ 10 determined fdaapproved test egfr alk genomic tumour aberration combination bevacizumab paclitaxel carboplatin first-line treatment adult patient metastatic non-squamous nsclc egfr alk genomic tumour aberration combination paclitaxel protein-bound carboplatin firstline treatment adult patient metastatic non-squamous nsclc egfr alk genomic tumor aberration treatment adult patient metastatic nsclc disease progression following platinum-containing chemotherapy patient egfr alk genomic tumour aberration disease progression fda-approved therapy nsclc harbouring aberration prior receiving atezolizumab small cell lung cancer sclc combination carboplatin etoposide first-line treatment adult patient extensive-stage small cell lung cancer es-sclc hepatocellular carcinoma hcc combination bevacizumab treatment patient unresectable metastatic hcc received prior systemic therapy melanoma combination cobimetinib vemurafenib treatment patient braf v600 mutation-positive unresectable metastatic melanoma alveolar soft part sarcoma asp treatment adult pediatric patient 2 year age older unresectable metastatic asp 
Levoleucovorin,levoleucovorin enantiomerically active form folinic acid also known 5-formyl tetrahydrofolic acid leucovorin commercially available leucovorin composed 1:1 racemic mixture dextrorotary levorotary isomer levoleucovorin contains pharmacologically active levo-isomer vitro levo-isomer shown rapidly converted biologically available methyl-tetrahydrofolate form dextro form slowly excreted kidney despite difference activity two commercially available form shown pharmacokinetically identical may used interchangeably limited difference efficacy side effect kovoor et al 2009 folate analog levoleucovorin leucovorin used counteract toxic effect folic acid antagonist methotrexate act inhibiting enzyme dihydrofolate reductase dhfr indicated use rescue therapy following use high-dose methotrexate treatment osteosarcoma diminishing toxicity associated inadvertent overdosage folic acid antagonist levoleucovorin product fusilev fda additional indication use combination chemotherapy 5-fluorouracil palliative treatment patient advanced metastatic colorectal cancer folic acid essential b vitamin required body synthesis purine pyrimidine methionine incorporation dna protein however order function role must first reduced enzyme dihydrofolate reductase dhfr cofactor dihydrofolate dhf tetrahydrofolate thf important pathway required de novo synthesis nucleic acid amino acid disrupted high-dose methotrexate used cancer therapy methotrexate function dhfr inhibitor prevent dna synthesis rapidly dividing cell also prevents formation dhf thf result deficiency coenzyme resultant buildup toxic substance responsible numerous adverse side effect methotrexate therapy levoleucovorin leucovorin analog tetrahydrofolate thf able bypass dhfr reduction act cellular replacement co-factor thf thereby preventing toxic side effect ,levoleucovorin indicated use rescue therapy following high-dose methotrexate treatment osteosarcoma diminishing toxicity associated inadvertent overdosage folic acid antagonist levoleucovorin product fusilev fda dosed one-half usual dose racemic l-leucovorin additional indication use combination chemotherapy 5-fluorouracil palliative treatment patient advanced metastatic colorectal cancer although mixed infusion precipitate may form 
Human Rho(D) immune globulin,human rho immune globulin medicine given intramuscular intravenous injection used prevent immunological condition known rh disease hemolytic disease newborn rho immune globulin available sterile lyophilized liquid gamma globulin igg fraction containing antibody rh0 antigen antigen name rhophylac im/iv immune globullin purified via ion-exchange chromatography method prepared pool human plasma donor rho -negative donor immunized rho -positive rbc approved fda treatment suppression rhesus rh isoimmunization chronic immune thrombocytopenic purpura itp adult ,indicated suppression rhesus rh isoimmunization nonsensitized rho -negative woman rh-incompatible pregnancy rho -negative individual transfused rh0 -positive red blood cell rbc blood component containing rh0 -positive rbc also indicated rh0 -positive non-splenectomized adult patient chronic immune thrombocytopenic purpura itp raise platelet count 
Antithrombin III human, plasma alpha 2 glycoprotein account major antithrombin activity normal plasma also inhibits several enzyme member serpin superfamily ,antithrombin iii human human antithrombin indicated patient hereditary antithrombin deficiency treatment prevention thromboembolism prevention peri-operative peri-partum thromboembolism
"Starch, corn",corn starch refers starch extracted corn grain commonly used food ingredient chemical additive starch group polysaccharide general formula c6-h10-o5 n composed long-chain polymer glucose form amylose amylopectin starch chief storage form energy reserve carbohydrate plant corn starch may added food product thickening agent anti-caking agent sometimes found topical drug skin protectant ,
Beeswax, wax obtained honeycomb bee consists primarily myricyl palmitate cerotic acid ester high-carbon paraffin beeswax used stiffening agent ointment cream enables water incorporated produce water-in-oil emulsion also used coating manufacture modified-release oral preparation,beeswax also characterized several therapeutic property great interest u thought particularly effective healing bruise inflammation burn recently interest researcher moved even antimicrobial property beeswax although still study literature focused action beeswax study showed antimicrobic effectiveness beeswax overall staphylococcus aureus salmonella enterica candida albicans aspergillus niger sterile preparation white beeswax hard paraffin isopropyl palmitate sterile surgical bone wax used control bleeding damaged bone surgery confused aseptic surgical wax bpc 1949 also known horsley 's wax contained yellow beeswax olive oil phenol mercuric chloride solution used control haemorrhage bone cranial surgery 
Tuberculin purified protein derivative,tuberculin purified protein derivative ppd sterile aqueous solution purified protein fraction intradermal administration aid diagnosis tuberculosis diagnostic test commonly referred mantoux test serf minimize risk transmission infection mycobacterium tuberculosis early diagnosis appropriate therapeutic intervention purified protein fraction isolated culture medium filtrate human strain mycobacterium tuberculosis included world health organization 's list essential medicine ,indicated diagnostic agent mantoux test used detect infection mycobacterium tuberculosis 
Hydroxyethyl cellulose,hydroxyethyl cellulose polysaccharide derivative gel thickening emulsifying bubble-forming water-retaining stabilizing property used key ingredient many household cleaning product lubricant cosmetic due non-ionic water-soluble nature often used ingredient ophthalmic pharmaceutical preparation artificial tear solution adjunct agent topical drug formulation facilitate delivery drug hydrophobic character , alleviating surface irritation topical ocular administration artificial tear solution hydroxyethyl cellulose also found topical formulation aid efficient drug diffusion across membrane 
"Rabies immune globulin, human",imogam rabies pasteurized indicated post-exposure prophylaxis person suspected exposure rabies previously received complete immunization regimen cell culture produced rabies vaccine person previously vaccinated type rabies vaccine adequate antibody level demonstrated receive full post-exposure prophylaxis rig cell culture-produced rabies vaccine imogam rabies pasteurized administered promptly exposure conjunction rabies vaccine imogam rabies pasteurized administered recommended initiation post-exposure rabies vaccine series administered eight day following first dose rabies vaccine since rabies vaccine-induced antibody begin appear within one week value administering rabies immune globulin eight day rabies vaccination begun recommendation passive and/or active immunization exposure animal suspected rabies outlined national advisory committee immunization naci advisory committee immunization practice acip world health organization , human rabies immune globulin used indicated passive transient post-exposure prophylaxis rabies infection person age given immediately contact rabid possibly rabid animal administered concurrently full course rabies vaccine l41200 
"Tetanus immune globulin, human",tetanus immune globulin manufactured human plasma fda label contains antibody tetanus toxoid primarily used prophylaxis tetanus wounded patient , use prophylaxis tetanus patient injured incomplete uncertain immunization status fda label may also used treatment active tetanus 
Myrrh,extractives physically modified derivative tincture concrete absolute essential oil oleoresin terpene terpene-free fraction distillate residue obtained commiphora abyssinica burseraceae ,fda approved use food historically used indigestion ulcer cold cough asthma bronchial congestion arthritic pain cancer leprosy syphilis also used orally stimulant antispasmodic increase menstrual flow topically myrrh used mild inflammation oral pharyngeal mucosa aphthous ulcer gingivitis chapped lip hemorrhoid bedsore wound abrasion furunculosis bad breath loose teeth food beverage myrrh used flavoring component manufacturing myrrh used fragrance fixative cosmetic also used embalming incense 
Susoctocog alfa,intravenous susoctocog alfa recombinant b-domain deleted porcine sequence antihaemophilic factor viii fviii product recently approved treatment bleeding episode adult acquired haemophilia aha aha rare bleeding disorder result prolonged clotting time measured activated partial thromboplastin time aptt assay conventional vitro test biological activity factor viii patient aha normal factor viii gene coagulation pathway develop inhibitory autoantibody directed factor viii autoantibody neutralize circulating human factor viii create functional deficiency procoagulant protein susoctocog alfa serf temporarily restore inhibited endogenous factor viii effective hemostasis global prospective controlled multi-center phase 2/3 open-label clinical trial patient responded susoctocog alfa treatment within 24 hour l1129 susoctocog alfa glycoprotein containing 90 kda heavy chain 80 kda light chain naturally-occuring b domain replaced twenty-four amino acid linker susoctocog alfa approved fda october 2014 marketed brand name obizur intravenous injection first recombinant porcine fviii treatment approved aha allows physician manage treatment 's efficacy safety measuring factor viii activity level addition clinical assessment l1129 recombinant porcine sequence allows le susceptibility inactivation circulating human factor viii antibody ,indicated treatment bleeding episode adult acquired hemophilia 
Efmoroctocog alfa,efmoroctocog alfa fully recombinant factor viii-fc fusion protein rfviiifc extended half-life compared conventional factor viii fviii preparation including recombinant fviii rfviii product db13999 a31551 antihemorrhagic agent used replacement therapy patient haemophilia congenital factor viii deficiency suitable age group haemophilia rare bleeding disorder associated slow clotting process caused deficiency factor viii patient disorder susceptible recurrent bleeding episode excessive bleeding following minor traumatic injury surgical procedure a31551 prophylactic treatment may dramatically improve management severe haemophilia future reducing joint bleeding hemorrhage cause chronic pain disability patient a31551 a31552 prophylaxis also shown reduce formation neutralizing anti-fviii antibody inhibitor a31552 factor viii blood coagulant factor involved intrinsic pathway form fibrin blood clot efmoroctocog alfa first commercially available rfviii-fc fusion protein rfviiifc conjugated molecule rfviii polyethylene glycol covalently fused dimeric fc domain human immunoglobulin g1 long-lived plasma protein fda label b domain factor viii deleted animal model haemophilia efmoroctocog alfa demonstrated approximately two-fold longer t½ commercially available rfviii product a31551 drug product similar structure function efmoroctocog alfa include db13999 produced recombinant dna technology identical sequence endogenously produced factor viii contain b-domain known biological function db13192 purified endogenous factor viii human pooled blood contains a- b-subunits commonly marketed elocta eloctate intravenous injection date confirmed inhibitory autoantibody seen previously treated patient included clinical study treatment-emergent adverse event generally consistent expected patient population studied a31551 extended half-life efmoroctocog alfa provides several clinical benefit patient including reduced frequency injection required improved adherence prophylaxis a31551 ,indicated treatment prophylaxis bleeding patient haemophilia congenital factor viii deficiency fda label 
Eftrenonacog alfa,"eftrenonacog alfa long-acting recombinant fusion protein used treatment hemophilia b comprised single molecule human factor ix fix covalently linked constant region fc domain human igg1 via recombinant dna technology human embryonic kidney cell line hek293h a31556 presence fc domain extends terminal half-life confers clinical benefit prolonged therapeutic efficacy le frequent intravenous injection patient convenience improved adherence prophylaxis hemophilia b blood disorder incidence approximately every 30,000 male birth population ethnic group a31557 x-linked genetic disease caused mutation gene coagulation protein factor ix fix leading decreased level endogenous factor ix increased susceptibility recurrent bleeding episode caused spontaneously result accidental surgical trauma fda label untreated patient die bleeding complication 25 year age a31557 eftrenonacog alfa act replacement therapy restore level factor ix allow normal hemostasis eftrenonacog alfa developed marketed alprolix intravenous injection biogen first approved fda march 2014 later approved ema may 2016 eftrenonacog alfa treatment demonstrated good tolerability report inhibitor development clinical study a31556 ",indicated treatment prophylaxis bleeding patient age haemophilia b congenital factor ix deficiency 
Normethadone,normethadone used opioid antitussive combination db11610 marketed canada valeant tradename cophylac , use treatment cough le potent treatment failed fda label 
Oxilofrine,oxilofrine used combination db11609 antitussive currently marketed canada valeant tradename cophylac ,used combination db11609 antitussive fda label 
Lifitegrast,lifitegrast fda approved drug treatment keratoconjunctivitis sicca dry eye syndrome tetrahydroisoquinoline derivative lymphocyte function-associated antigen-1 lfa-1 antagonist discovered rational design process ophthalmic solution approved july 2016 trade name xiidra shown protect corneal surface alleviate symptom dry eye syndrome fast onset action well tolerated profile local systemic setting a18805 , treatment sign symptom keratoconjunctivitis sicca dry eye syndrome 
Velpatasvir,velpatasvir direct-acting antiviral daa medication used part combination therapy treat chronic hepatitis c infectious liver disease caused infection hepatitis c virus hcv hcv single-stranded rna virus categorized nine distinct genotype genotype 1 common united state affecting 72 chronic hcv patient l852 velpatasvir act defective substrate ns5a non-structural protein 5a non-enzymatic viral protein play key role hepatitis c virus replication assembly modulation host immune response a19175 treatment option chronic hepatitis c advanced significantly since 2011 development direct acting antiviral daas velpatasvir notably velpatasvir significantly higher barrier resistance first generation ns5a inhibitor db09027 db09102 making highly potent reliable alternative treatment chronic hepatitis c a19637 joint recommendation published 2016 american association study liver disease aasld infectious disease society america idsa recommend velpatasvir first line therapy combination sofosbuvir six genotype hepatitis c l852 velpatasvir currently available within fixed dose combination product epclusa db08934 another direct acting antiviral goal therapy epclusa include intent cure achieve sustained virologic response svr 12 week daily therapy svr eradication hcv infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence hepatocellular carcinoma reduced all-cause mortality risk requiring liver transplant a19626 since june 2016 velpatasvir available fixed dose combination product db08934 commercially available product epclusa epclusa first combination hcv product indicated treatment genotype hepatitis c without cirrhosis also currently potent hcv antiviral medication market sustained virologic response svr 12 week therapy 93-99 depending genotype level cirrhosis high barrier resistance l852 canadian american guideline list epclusa first line recommendation genotype hcv l852 a19626 ,velpatasvir used combination therapy antiviral medication treat chronic hepatitis c virus hcv infected patient hcv genoptypes 1-6 treat hcv hiv co-infected patient depending level cirrhosis decompensation combination therapy also include therapy db00811 used combination db08934 combination product epclusa velpatasvir indicated treatment adult patient chronic hepatitis c virus hcv genotype 1 2 3 4 5 6 infection without cirrhosis compensated cirrhosis combination db00811 associated decompensated cirrhosis fda label 
Rupatadine,rupatadine dual histamine h1 receptor platelet activating factor receptor antagonist used symptomatic relief seasonal perennial rhinitis well chronic spontaneous urticaria approved marketing canada tradename rupall come tablet formulation adult use liquid formulation pediatric use , symptomatic relief nasal non-nasal symptom seasonal allergic rhinitis perennial allergic rhinitis patient 2 year age older fda label also used symptomatic relief chronic spontaneous urticaria patient 2 year age older 
Zorubicin,zorubicin drug anthracycline class class medication historically demonstrated effective chemotherapy variety cancer type ,
Gestrinone,gestrinone also known ethylnorgestrienone synthetic steroid 19-nortestosterone group marketed europe australia latin america though united state canada used primarily treatment endometriosis gestrinone developed early 1970s tested clinically weekly oral contraceptive europe north america without significant advantage oral contraceptive high cost gestrinone longer used stage ii clinical trial however 1982 drug attracted increased interest due significant therapeutic effect treatment endometriosis different endocrine condition gestrinone posse estrogenic progestational androgenic antiestrogenic antiprogesterone action l1696 ,endometriosis without accompanying sterility treatment limited single course 6 month duration per lifetime l1699 l1700 
Human varicella-zoster immune globulin,human varicella-zoster immune globulin solvent/detergent-treated sterile liquid preparation purified human immune globulin g igg containing antibody varicella zoster virus anti-vzv prepared pool healthy human donor plasma via anion-exchange column chromatography approved 2012 name varizig reduce disease severity high-risk patient lack evidence immunity varicella varicella vaccine contraindicated therapeutic efficacy proven administered within 4 day exposure varicella zoster virus ,indicated preventing reducing severity chicken pox varicella zoster virus infection high risk individual within 4 day exposure varicella zoster virus 
Dehydrocholic acid,dehydrocholic acid synthetic bile acid prepared oxidation cholic acid chromic acid a33022 used stimulation biliary lipid secretion use dehydrocholic acid over-the-counter product discontinued health canada , approved therapeutic indication 
Candoxatrilat," dicarboxylic acid monoamide obtained formal condensation amino group cis-4-aminocyclohexanecarboxylic acid cyclopentanecarboxylic acid group 1- 2 -2-carboxy-3- 2-methoxyethoxy propyl cyclopentanecarboxylic acid potent inhibitor neutral endopeptidase nep neprilysin ec 3.4.24.11 used 2,3-dihydro-1h-inden-5-yl ester prodrug treatment chronic heart failure ",
Epoetin delta,epoetin delta ingredient ema-withdrawn product dynepo ,
Perflenapent,dodecafluoropentane ingredient ema-withdrawn product echogen ,
Tasonermin,tasonermin recombinant soluble form tumor necrosis factor alpha produced via _escherichia coli_ cell culture approved use european medicine agency april 1999 use adjunt surgery subsequent removal tumor palliative care irresectable soft tissue sarcoma limb product beromun administered db01042 via mild hyperthermic isolated limb perfusion , use adult adjunct surgery subsequent removal tumour prevent delay amputation palliative care irresectable soft tissue sarcoma limb fda label used combination melphalan via mild hyperthermic isolated limb perfusion 
Hepatitis B Vaccine (Recombinant),hepatitis b vaccine ingredient ema-withdrawn product quintanrix marketed canada engerix b also part twinrix hep a/hep b vaccine available also canada hepatitis b virus induces severe form viral hepatitis causative agent hepatitis virus non-a non-b hepatitis virus hepatitis virus defective virus requiring “ keeper function ” hepatitis b virus occurs either co-infection super-infection hbsag carrier transmission virus occurs percutaneous contact contaminated blood serum plasma infection may also occur exposure mucous surface intact damaged skin body fluid saliva mucosal secretion semen specific treatment hepatitis incubation period may long 6 month followed complex clinical course acute chronic nature often leading hospitalization viral hepatitis caused hepatitis b virus major worldwide health problem though incidence epidemiology vary widely among geographical area population subgroup canada united state northern europe 4 6 population infected lifetime mostly young adult 5 10 infection lead persistent viremia carrier state certain population subgroup area however high risk see indication clinical use asia infection often occurs early life leading hepatitis b marker prevalence 70 general population carrier rate 20 estimated reservoir persistent hepatitis b surface antigen carrier amount 350 million people worldwide carrier high risk developing chronic liver disease may lead cirrhosis primary hepatocellular carcinoma significant reduction incidence hepatocellular carcinoma observed child aged 6 to14 year following nationwide hepatitis b vaccination taiwan resulted significant decline prevalence hepatitis b antigen persistence essential factor development hepatocellular carcinoma vaccination hepatitis b expected long term reduce overall incidence hepatitis b chronic complication chronic active hepatitis cirrhosis ,active immunization hepatitis b virus infection vaccine protect infection caused hepatitis non-a non-b hepatitis virus hepatitis caused delta agent occur absence hepatitis b infection carrier state expected hepatitis also prevented vaccination hepatitis b virus vaccine vaccine administered age birth onwards may used start primary course vaccination booster dose may also used complete primary course vaccination started plasma-derived yeast-derived vaccine booster dose subject previously received primary course vaccination plasma-derived yeast-derived vaccine area low prevalence hepatitis b vaccination strongly recommended subject increased risk infection include following group health professional physician surgeon oral surgeon dentist nurse dental nurse dental hygienist podiatrist iv team operating room personnel paramedical personnel close contact patient staff hemodialysis nephrology hepatology hematology oncology unit laboratory personnel handling blood clinical specimen blood bank plasma fractionation worker pathologist morgue attendant cleaning staff handle waste hospital emergency first aid worker ambulance staff dental medical nursing student patient patient receiving frequent blood transfusion clotting factor concentrate oncology unit thalassemia sickle-cell anemia cirrhosis hemophilia etc patient hemodialysis patient type 2 diabetes personnel resident institution person frequent and/or close contact high-risk group prisoner prison staff resident staff institution developmentally challenged contact aggressive biting resident highest risk person increased risk due sexual practice male sexual contact male others multiple sexual partner recent history sexually transmitted disease person use injectable drug illicitly traveller area high endemicity close contact household contact group patient acute chronic hepatitis b infection infant born hbsag-positive mother chronic liver disease cld subject chronic liver disease subject risk developing cld e.g hepatitis c virus carrier person abuse alcohol others police fire fighter armed force personnel mortician embalmer work personal lifestyle may exposed hepatitis b virus area low high prevalence vaccination offered young child neonate risk well adult high risk group 
Depreotide,depreotide ingredient ema-withdrawn product neospect ,
Laropiprant,laropiprant ingredient ema-withdrawn product pelzont ,
Temoporfin,temoporfin photosensitizing agent used treatment squamous cell carcinoma head neck fda label first authorized market european medicine agency october 2001 currently available brand name foscan , use treatment patient advanced squamous cell carcinoma head neck failing standard therapy unsuitable radiotherapy surgery systemic chemotherapy fda label 
Eptotermin alfa, bone morphogenetic protein widely expressed embryonic development potent osteogenic factor specific regulator nephrogenesis eptotermin alfa ingredient ema-withdrawn product osigraft ,
Opicapone,opicapone potent reversible peripherally-acting third-generation inhibitor catechol-o-methyltransferase comt enzyme involved breakdown various catecholamine including dopamine a36938 a203048 many patient parkinson ’ disease treated levodopa plus dopa decarboxylase ddc inhibitor eg carbidopa experience motor complication time call management symptom use dopamine agonist monoamine oxidase b inhibitor selegiline rasagiline _catechol-o-methyl transferase comt inhibitor amantadine using modified-release formulation levodopa l2336 opicapone used adjunct therapy levodopa carbidopa adult patient parkinson 's disease end-of-dose motor fluctuation opicapone approved use european commission june 2016 l2339 fda april 2020 l13772 marketed brand name ongentys once-daily oral capsule exhibiting long duration action exceeds 24 hour opicapone administered once-daily l2336 demonstrates lowest risk cytotoxicity compared catechol-o-methyltransferase inhibitor a203048 ,opicapone indicated adjunctive therapy adult parkinson ’ disease end-of-dose motor fluctuation “ ” episode whose symptom stabilized combination therapy levodopa dopa decarboxylase inhibitor e.g. carbidopa l2343 l13772 
Isavuconazole,isavuconazole triazole antifungal broad spectrum activity good safety profile a32026 approved fda ema treatment invasive aspergillosis mucormycosis work inhibiting fungal cell membrane synthesis invasive fungal infection pose significant clinical challenge patient especially immunocompromised vitro _candida_ specie _aspergillus_ specie mucorales _cryptococcus_ spp. _fusarium_ specie dermatophytes dimorphic fungi displayed susceptibility isavuconzaole a32029 resistance isavuconazole associated mutation target gene cyp51 fda label cross-resistance isavuconazole azoles also proposed although clinical relevance unclear fda label isavuconazole display low water solubility found active ingredient prodrug db06636 prodrug formulation isavuconazole fda- ema-approved marketed trade name cresemba treatment invasive aspergillosis mucormycosis oral intravenous administration intravenous formulation cyclodextrin-free give isavuconazole advantage azole antifungal requires cyclodextrin facilitating drug solubility cyclodextrin potential nephrotoxicity a32029 proposed intravenous oral dosing used interchangeably l1482 without need repeat loading dose transitioning iv oral formulation a32026 isavuconazonium display excellent water solubility intravenous formulation good absorption enhanced oral bioavailability a32026 following administration isavuconazonium undergoes biotransformation form active moiety isavuconazole antifungal action , indicated patient 18 year age older treatment invasive aspergillosis fda label indicated patient 18 year age older treatment invasive mucormycosis fda label including patient treatment amphotericin b inappropriate l1482 
Colestilan chloride,colestilan ingredient ema-withdrawn product bindren ,
Tocofersolan,d-alpha-tocopheryl polyethylene glycol 1000 succinate tocofersolan vedrop developed europe orally bioavailable source vitamin e child suffering cholestasis l2371 cholestasis reduction stoppage bile flow either impaired secretion _hepatocytes_ liver cell obstruction l2374 l2375 tocofersolan polyethylene glycol derivative α-tocopherol synthetic water-soluble version db11251 tocofersolan oral treatment vitamin e deficiency due digestive malabsorption pediatric patient congenital chronic cholestasis hereditary chronic cholestasis approved european medicine agency ema june 2009 market name vedrop moreover agent capable demonstrating antioxidant effect make popular component include cosmetic pharmaceutical well addition tocofersolan studied promising application absorption enhancer drug delivery msds ,tocofersolan indicated vitamin e deficiency caused digestive malabsorption pediatric patient congenital chronic cholestasis hereditary chronic cholestasis birth full term newborn 18 year age l2371 
Nomegestrol,nomegestrol ingredient ema-authorised product zoely ,
Delamanid,delamanid anti-tuberculosis agent derived nitro-dihydro-imidazooxazole class compound inhibits mycolic acid synthesis bacterial cell wall a31965 used treatment multidrug-resistant extensively drug-resistant tuberculosis tb combination regimen emergence multidrug-resistant extensively drug-resistant tuberculosis creates clinical challenge patient disease associated higher mortality rate insufficient therapeutic response standardized antituberculosis treatment db00951 db01045 multidrug-resistant tuberculosis may also require 2 year chemotherapy second-line therapy narrow therapeutic index a31968 clinical study involving patient pulmonary multidrug-resistant tuberculosis extensively drug-resistant tuberculosis treatment delamanid combination who-recommended optimised background treatment regimen associated improved treatment outcome reduced mortality rate a31965 spontaneous resistance delamanid observed treatment mutation one 5 f420 coenzyme responsible bioactivation delamanid contributes effect l1407 delamanid approved ema marketed trade name deltyba oral tablet marketed otsuka pharmaceutical co. ltd tokyo japan ,indicated use part appropriate combination regimen pulmonary multi-drug resistant tuberculosis mdr-tb adult patient effective treatment regimen otherwise composed reason resistance tolerability l1407 
Artenimol,artenimol artemisinin derivative antimalarial agent used treatment uncomplicated plasmodium falciparum infection fda label first authorized market european medicine agency october 2011 combination db13941 product eurartesim artemisinin combination therapy highly effective malaria stongly recommended world health organization l1156 , treatment uncomplicated plasmodium falciparum infection adult child infant aged 6 month weighing 5 kg fda label used combination db13941 
